    1.500000    8.100000    1.100000    0.657468 1053.773545
    1.500000    8.100000    2.644444    1.146893  345.502736
    1.500000    8.100000    4.188889    1.510632  214.728274
    1.500000    8.100000    5.733333    1.799900  162.556514
    1.500000    8.100000    7.277778    2.040595  134.362627
    1.500000    8.100000    8.822222    2.247841  116.439685
    1.500000    8.100000   10.366667    2.430958  103.857135
    1.500000    8.100000   11.911111    2.595958   94.423087
    1.500000    8.100000   13.455556    2.746884   87.015332
    1.500000    8.100000   15.000000    2.886578   80.998158
    4.666667    8.100000    1.100000    1.002872  662.974401
    4.666667    8.100000    2.644444    1.675359  222.736551
    4.666667    8.100000    4.188889    2.193921  133.644707
    4.666667    8.100000    5.733333    2.627707   97.413738
    4.666667    8.100000    7.277778    3.004075   77.950626
    4.666667    8.100000    8.822222    3.338445   65.769661
    4.666667    8.100000   10.366667    3.640699   57.378259
    4.666667    8.100000   11.911111    3.917610   51.207448
    4.666667    8.100000   13.455556    4.174016   46.451768
    4.666667    8.100000   15.000000    4.413495   42.655915
    7.833333    8.100000    1.100000    1.249039  499.130349
    7.833333    8.100000    2.644444    2.053281  170.653003
    7.833333    8.100000    4.188889    2.673758  101.877973
    7.833333    8.100000    5.733333    3.198145   73.567936
    7.833333    8.100000    7.277778    3.658370   58.313985
    7.833333    8.100000    8.822222    4.071469   48.781098
    7.833333    8.100000   10.366667    4.448132   42.237808
    7.833333    8.100000   11.911111    4.795648   37.448403
    7.833333    8.100000   13.455556    5.119270   33.775902
    7.833333    8.100000   15.000000    5.422909   30.859502
   11.000000    8.100000    1.100000    1.450838  406.962379
   11.000000    8.100000    2.644444    2.363769  140.767721
   11.000000    8.100000    4.188889    3.066154   83.941651
   11.000000    8.100000    5.733333    3.661782   60.363931
   11.000000    8.100000    7.277778    4.187156   47.622845
   11.000000    8.100000    8.822222    4.661135   39.658305
   11.000000    8.100000   10.366667    5.095303   34.197965
   11.000000    8.100000   11.911111    5.497493   30.209009
   11.000000    8.100000   13.455556    5.873312   27.157413
   11.000000    8.100000   15.000000    6.226953   24.740119
   14.166667    8.100000    1.100000    1.625963  346.778361
   14.166667    8.100000    2.644444    2.633709  120.968701
   14.166667    8.100000    4.188889    3.406628   72.131937
   14.166667    8.100000    5.733333    4.062824   51.752955
   14.166667    8.100000    7.277778    4.643101   40.713594
   14.166667    8.100000    8.822222    5.168134   33.808428
   14.166667    8.100000   10.366667    5.650429   29.076227
   14.166667    8.100000   11.911111    6.098348   25.622579
   14.166667    8.100000   13.455556    6.517861   22.983934
   14.166667    8.100000   15.000000    6.913408   20.896821
   17.333333    8.100000    1.100000    1.782753  303.917097
   17.333333    8.100000    2.644444    2.875783  106.712188
   17.333333    8.100000    4.188889    3.711656   63.652436
   17.333333    8.100000    5.733333    4.421455   45.605235
   17.333333    8.100000    7.277778    5.050005   35.809149
   17.333333    8.100000    8.822222    5.619737   29.677311
   17.333333    8.100000   10.366667    6.144059   25.475372
   17.333333    8.100000   11.911111    6.631870   22.410346
   17.333333    8.100000   13.455556    7.089486   20.070493
   17.333333    8.100000   15.000000    7.521591   18.221480
   20.500000    8.100000    1.100000    1.925927  271.605455
   20.500000    8.100000    2.644444    3.097173   95.870092
   20.500000    8.100000    4.188889    3.990478   57.212783
   20.500000    8.100000    5.733333    4.748889   40.953836
   20.500000    8.100000    7.277778    5.421001   32.113273
   20.500000    8.100000    8.822222    6.030917   26.575700
   20.500000    8.100000   10.366667    6.592938   22.780690
   20.500000    8.100000   11.911111    7.116486   20.013311
   20.500000    8.100000   13.455556    7.608207   17.901789
   20.500000    8.100000   15.000000    8.073030   16.234309
   23.666667    8.100000    1.100000    2.058465  246.245694
   23.666667    8.100000    2.644444    3.302410   87.299167
   23.666667    8.100000    4.188889    4.248897   52.125472
   23.666667    8.100000    5.733333    5.052121   37.288854
   23.666667    8.100000    7.277778    5.764233   29.209782
   23.666667    8.100000    8.822222    6.410937   24.145893
   23.666667    8.100000   10.366667    7.007394   20.674984
   23.666667    8.100000   11.911111    7.563534   18.144354
   23.666667    8.100000   13.455556    8.086343   16.214158
   23.666667    8.100000   15.000000    8.580974   14.690597
   26.833333    8.100000    1.100000    2.182391  225.734780
   26.833333    8.100000    2.644444    3.494576   80.324809
   26.833333    8.100000    4.188889    4.490837   47.986882
   26.833333    8.100000    5.733333    5.335862   34.313063
   26.833333    8.100000    7.277778    6.085163   26.857642
   26.833333    8.100000    8.822222    6.765987   22.181828
   26.833333    8.100000   10.366667    7.394316   18.976322
   26.833333    8.100000   11.911111    7.980583   16.639382
   26.833333    8.100000   13.455556    8.532098   14.857363
   26.833333    8.100000   15.000000    9.054239   13.451257
   30.000000    8.100000    1.100000    2.299157  208.754289
   30.000000    8.100000    2.644444    3.675875   74.520698
   30.000000    8.100000    4.188889    4.719103   44.542792
   30.000000    8.100000    5.733333    5.603461   31.840239
   30.000000    8.100000    7.277778    6.387671   24.906578
   30.000000    8.100000    8.822222    7.100443   20.555576
   30.000000    8.100000   10.366667    7.758569   17.572148
   30.000000    8.100000   11.911111    8.372966   15.397171
   30.000000    8.100000   13.455556    8.951262   13.738945
   30.000000    8.100000   15.000000    9.499046   12.430872
