  0.000000000  0.000000000  0.000000000       8
       1      25   -9.621873646  -11.943847078
       1      26   -9.012095748  -11.543691242
       1      27   -8.616311506  -11.240397671
       1      28   -8.563944336  -10.961969926
       1      29   -8.283704731  -10.684399784
       1      30   -8.247740124  -10.423964191
       1      31   -8.241349145  -10.663498206
       1      32   -7.867208446  -10.154106463
  0.000000000  0.250000000  0.000000000       8
       1      25   -9.443463707  -12.008882679
       1      26   -8.924252575  -11.350699477
       1      27   -8.671123474  -11.175544565
       1      28   -8.545955803  -11.136257106
       1      29   -8.315482087  -10.546687233
       1      30   -8.273432475  -10.730760212
       1      31   -8.215244377  -10.548749236
       1      32   -7.947772446  -10.245143927
  0.000000000  0.500000000  0.000000000       8
       1      25   -9.117502011  -11.609757328
       1      26   -9.113219259  -11.605113791
       1      27   -8.535354988  -10.930644559
       1      28   -8.530977235  -10.928845069
       1      29   -8.376949187  -10.889686970
       1      30   -8.376526305  -10.889422879
       1      31   -8.101061630  -10.398903147
       1      32   -8.099856538  -10.396993045
  0.000000000  0.750000000  0.000000000       8
       1      25   -9.443463707  -12.008882713
       1      26   -8.924252575  -11.350699385
       1      27   -8.671123474  -11.175543302
       1      28   -8.545955803  -11.136257149
       1      29   -8.315482087  -10.546687236
       1      30   -8.273432475  -10.730760122
       1      31   -8.215244377  -10.548749293
       1      32   -7.947772446  -10.245143933
  0.142857143  0.000000000  0.000000000       8
       1      25   -9.389887841  -11.755157740
       1      26   -8.962167189  -11.467912292
       1      27   -8.777000850  -11.373315474
       1      28   -8.397310858  -10.751469197
       1      29   -8.340587180  -10.679561868
       1      30   -8.276510348  -10.768471354
       1      31   -8.221710275  -10.480058666
       1      32   -7.946350421  -10.281148022
  0.142857143  0.250000000  0.000000000       8
       1      25   -9.364721171  -11.890907656
       1      26   -8.905298813  -11.321670968
       1      27   -8.773094604  -11.350927007
       1      28   -8.453920083  -10.845400744
       1      29   -8.352333661  -10.831145537
       1      30   -8.289174803  -10.598067494
       1      31   -8.187124785  -10.519840100
       1      32   -8.005028126  -10.350761149
  0.142857143  0.500000000  0.000000000       8
       1      25   -9.110651343  -11.600203045
       1      26   -9.106140615  -11.595814977
       1      27   -8.610199507  -11.063942060
       1      28   -8.607570381  -11.063665102
       1      29   -8.289380705  -10.679276519
       1      30   -8.287675352  -10.676244111
       1      31   -8.138374881  -10.492356152
       1      32   -8.137455110  -10.491654308
  0.142857143  0.750000000  0.000000000       8
       1      25   -9.366706214  -11.894793201
       1      26   -8.904940281  -11.321779763
       1      27   -8.773371790  -11.349982969
       1      28   -8.454142962  -10.846042756
       1      29   -8.350951600  -10.827637649
       1      30   -8.288781390  -10.598307781
       1      31   -8.187319481  -10.520947081
       1      32   -8.005265003  -10.350991222
  0.285714286  0.000000000  0.000000000       8
       1      25   -9.201659382  -11.541541715
       1      26   -8.853628371  -11.359693548
       1      27   -8.830496317  -11.334063665
       1      28   -8.590561476  -11.088437713
       1      29   -8.437028457  -10.723792125
       1      30   -8.256627849  -10.589572285
       1      31   -8.112355221  -10.558615986
       1      32   -8.068588108  -10.421780837
  0.285714286  0.250000000  0.000000000       8
       1      25   -9.237094281  -11.709297869
       1      26   -8.898011371  -11.381897134
       1      27   -8.805708337  -11.286173410
       1      28   -8.625478796  -11.071082877
       1      29   -8.414619362  -10.726232335
       1      30   -8.238730040  -10.649915887
       1      31   -8.193072453  -10.571762854
       1      32   -8.000009472  -10.360494711
  0.285714286  0.500000000  0.000000000       8
       1      25   -9.110526994  -11.604380765
       1      26   -9.104929422  -11.598727243
       1      27   -8.713388322  -11.168619300
       1      28   -8.710891442  -11.166471326
       1      29   -8.353307502  -10.712234249
       1      30   -8.352163004  -10.712508130
       1      31   -8.055022091  -10.426340755
       1      32   -8.054007637  -10.425098382
  0.285714286  0.750000000  0.000000000       8
       1      25   -9.237528349  -11.711557467
       1      26   -8.900039074  -11.387151843
       1      27   -8.805114827  -11.280881536
       1      28   -8.624386105  -11.070814184
       1      29   -8.414906119  -10.724630553
       1      30   -8.237627616  -10.647447603
       1      31   -8.192716996  -10.574047250
       1      32   -8.000552322  -10.360911426
  0.428571429  0.000000000  0.000000000       8
       1      25   -9.188412616  -11.633199261
       1      26   -8.890886848  -11.260103667
       1      27   -8.740283515  -11.269079033
       1      28   -8.726104502  -11.151969060
       1      29   -8.643213850  -10.938223171
       1      30   -8.295578984  -10.760414886
       1      31   -8.214713255  -10.696732168
       1      32   -7.916236512  -10.187113948
  0.428571429  0.250000000  0.000000000       8
       1      25   -9.181769972  -11.644408055
       1      26   -8.928080205  -11.337871248
       1      27   -8.874820031  -11.369500909
       1      28   -8.748067709  -11.132254119
       1      29   -8.573239934  -10.992509979
       1      30   -8.316036293  -10.783054121
       1      31   -8.137735833  -10.521059391
       1      32   -7.886055025  -10.165980731
  0.428571429  0.500000000  0.000000000       8
       1      25   -9.096065094  -11.629191132
       1      26   -9.089703606  -11.621314676
       1      27   -8.850927920  -11.248217997
       1      28   -8.846727247  -11.242818705
       1      29   -8.462517577  -10.916939559
       1      30   -8.459420585  -10.914276727
       1      31   -7.941178572  -10.247008710
       1      32   -7.940111803  -10.246193667
  0.428571429  0.750000000  0.000000000       8
       1      25   -9.178550243  -11.642052998
       1      26   -8.927870558  -11.335843945
       1      27   -8.880822157  -11.374386655
       1      28   -8.744461270  -11.130324102
       1      29   -8.573673989  -10.993154905
       1      30   -8.315562399  -10.782396616
       1      31   -8.137695896  -10.521596068
       1      32   -7.886115872  -10.165864682
  0.571428571  0.000000000  0.000000000       8
