6	0	0	0	6	4.877
0	16	0	2	18	5.684
8	8	0	2	18	5.483
2	24	0	4	30	5.74
4	32	0	6	42	5.74
2	8	0	2	12	5.723
0	28	6	8	42	5.744
4	16	4	6	30	5.736
2	8	2	3	15	5.712
4	16	4	6	30	5.702
2	20	6	8	36	5.743
2	20	6	8	36	5.734
2	12	0	4	18	5.638
2	8	6	5	21	5.651
2	32	14	15	63	5.747
0	24	8	10	42	5.732
2	8	6	5	21	5.718
2	32	14	15	63	5.74
0	12	6	6	24	5.76
0	12	6	6	24	5.735
4	16	16	12	48	5.724
0	12	10	8	30	5.696
2	16	4	8	30	5.737
2	16	4	8	30	5.712
0	12	12	9	33	5.629
0	20	6	10	36	5.719
0	20	10	12	42	5.746
0	0	12	6	18	5.662
0	16	4	10	30	5.66
2	4	0	3	9	5.384
