     1   146       -3.591569  0.997
     2   150       -3.455809  0.999
     3   150       -3.466229  1.005
     4   150       -3.476995  1.005
     5   150       -3.487345  1.001
     6   155       -3.330554  1.000
     7   150       -3.504385  1.000
     8   158       -3.248199  0.999
     9   152       -3.445529  0.999
    10   158       -3.250967  0.999
    11   150       -3.520599  1.003
    12   162       -3.127951  1.000
    13   148       -3.563804  0.999
    14   148       -3.557356  0.997
    15   143       -3.829505  0.998
    16   143       -3.826091  1.001
    17   158       -3.228219  1.005
    18   143       -3.810532  1.002
    19   147       -3.609885  1.001
    20   143       -3.787514  1.000
    21   143       -3.775715  0.999
    22   153       -3.408627  1.002
    23   147       -3.595510  1.000
    24   146       -3.686227  1.000
    25   164       -2.982964  1.003
    26   169       -2.699828  1.002
    27   146       -3.666536  1.000
    28   169       -2.687656  1.000
    29   145       -3.704361  1.002
    30   169       -2.686397  1.000
    31   176       -2.108226  1.000
    32   155       -3.329590  1.000
    33   145       -3.694025  1.001
    34   176       -2.130831  1.000
    35   176       -2.143288  1.000
    36   156       -3.306883  1.000
    37   159       -3.163569  1.000
    38   163       -3.041413  0.998
    39   154       -3.362075  1.001
    40   159       -3.195352  0.999
    41   148       -3.516549  1.000
    42   148       -3.534587  1.005
    43   159       -3.208456  1.000
    44   149       -3.522790  0.999
    45   159       -3.214320  1.004
    46   147       -3.584298  1.004
    47   163       -3.013394  0.999
    48   148       -3.567519  1.001
    49   160       -3.190226  0.999
    50   163       -3.012881  1.000
    51   147       -3.577556  1.001
    52   160       -3.177965  1.004
    53   147       -3.559792  1.001
    54   148       -3.524202  1.000
    55   145       -3.631346  0.997
    56   159       -3.176380  0.995
    57   149       -3.480619  1.002
    58   149       -3.470241  1.000
    59   168       -2.845947  1.002
    60   158       -3.213284  0.999
    61   147       -3.499167  1.003
    62   168       -2.833757  1.001
    63   168       -2.831190  1.002
    64   159       -3.151495  1.005
    65   168       -2.831488  1.002
    66   168       -2.834019  1.003
    67   168       -2.838107  1.003
    68   168       -2.843813  1.003
    69   168       -2.850533  1.001
    70   150       -3.466940  1.002
    71   168       -2.865114  1.000
    72   150       -3.489817  1.001
    73   168       -2.878719  0.999
    74   151       -3.471715  0.999
    75   148       -3.550059  1.001
    76   158       -3.275334  0.997
    77   152       -3.455598  0.998
    78   148       -3.577395  1.000
    79   148       -3.586468  1.000
    80   152       -3.457162  0.998
    81   150       -3.542562  0.999
    82   150       -3.537260  1.003
    83   150       -3.530177  1.000
    84   148       -3.590388  1.000
    85   150       -3.508964  1.001
    86   155       -3.376046  1.001
    87   143       -3.790253  1.007
    88   155       -3.351237  1.000
    89   163       -3.036784  1.000
    90   143       -3.750224  0.999
    91   158       -3.225394  1.001
    92   158       -3.222629  1.000
    93   141       -3.842851  1.003
    94   168       -2.735203  1.004
    95   168       -2.725232  1.002
    96   145       -3.674493  1.006
    97   153       -3.365555  1.000
    98   145       -3.669526  1.002
    99   152       -3.374436  1.000
   100   164       -2.969366  1.000
   101   149       -3.527216  1.001
   102   176       -2.115802  1.000
   103   176       -2.123395  1.002
   104   176       -2.132860  1.000
   105   140       -3.857750  1.000
   106   158       -3.222117  1.001
   107   149       -3.533077  1.000
   108   158       -3.224653  1.000
   109   167       -2.823716  1.000
   110   165       -2.954270  1.001
   111   167       -2.844330  1.000
   112   153       -3.410282  0.999
   113   159       -3.221111  1.001
   114   159       -3.220475  1.001
   115   153       -3.433397  0.999
   116   145       -3.637693  1.000
   117   153       -3.433775  0.999
   118   151       -3.467241  1.001
   119   148       -3.558601  0.999
   120   148       -3.552331  1.000
   121   150       -3.462646  1.000
   122   150       -3.455054  1.002
   123   152       -3.419862  0.997
   124   152       -3.411528  1.001
   125   158       -3.168598  0.999
   126   154       -3.345885  1.001
   127   159       -3.149317  0.997
   128   159       -3.140396  0.997
   129   159       -3.132612  0.997
   130   159       -3.127028  1.000
   131   173       -2.400332  1.001
   132   154       -3.306668  1.000
   133   176       -2.107855  1.000
   134   159       -3.133824  0.997
   135   151       -3.376740  1.004
   136   176       -2.118951  1.002
   137   149       -3.459062  0.999
   138   149       -3.471264  1.000
   139   149       -3.484711  1.000
   140   149       -3.499142  1.000
   141   164       -2.984721  1.001
   142   150       -3.477861  0.998
   143   150       -3.497809  0.999
   144   149       -3.517794  1.005
   145   149       -3.537675  1.000
   146   149       -3.556559  0.998
   147   149       -3.573720  1.002
   148   162       -3.098618  1.001
   149   148       -3.602654  1.002
   150   144       -3.724887  1.005
   151   158       -3.308556  0.999
   152   158       -3.311966  1.000
   153   144       -3.767887  1.000
   154   159       -3.307979  1.001
   155   147       -3.650462  0.999
   156   159       -3.292399  1.001
   157   159       -3.281198  0.997
   158   151       -3.569655  1.001
   159   143       -3.843360  1.000
   160   143       -3.848637  0.999
   161   148       -3.655676  1.003
   162   162       -3.164624  1.000
   163   149       -3.624483  1.001
   164   156       -3.399980  1.001
   165   144       -3.795707  1.000
   166   153       -3.446931  1.003
   167   141       -3.897494  1.000
   168   166       -2.928825  0.999
   169   147       -3.674890  1.006
   170   176       -2.154557  1.001
   171   148       -3.627075  1.002
   172   147       -3.626131  0.999
   173   147       -3.614315  1.000
   174   176       -2.088167  1.001
   175   175       -2.252893  0.999
   176   176       -2.072531  1.000
   177   176       -2.069239  1.001
   178   167       -2.774765  1.001
   179   146       -3.603381  1.000
   180   158       -3.211725  1.000
   181   147       -3.577306  1.001
   182   167       -2.788834  1.001
   183   162       -3.063273  0.999
   184   156       -3.281294  1.000
   185   174       -2.337270  1.004
   186   151       -3.420130  1.002
   187   146       -3.605820  0.999
   188   175       -2.198023  1.000
   189   146       -3.608588  0.998
   190   161       -3.125735  1.000
   191   150       -3.511177  1.001
   192   146       -3.628176  0.999
   193   146       -3.644073  1.003
   194   146       -3.659396  1.001
   195   150       -3.577334  1.000
   196   163       -3.079008  1.000
   197   159       -3.271783  0.999
   198   145       -3.715960  1.000
   199   149       -3.598794  1.002
   200   149       -3.595783  1.001
   201   149       -3.591232  1.001
   202   163       -3.060060  1.002
   203   150       -3.567773  1.000
   204   157       -3.326108  0.999
   205   146       -3.659937  0.999
   206   149       -3.567021  0.998
   207   159       -3.239670  1.003
   208   157       -3.268457  0.997
   209   159       -3.214786  1.000
   210   159       -3.202225  1.003
   211   167       -2.843876  1.001
   212   175       -2.168380  1.001
   213   167       -2.828649  1.002
   214   152       -3.417505  1.002
   215   167       -2.822890  0.999
   216   149       -3.485487  1.001
   217   145       -3.634212  1.000
   218   145       -3.633564  1.001
   219   160       -3.138923  1.001
   220   160       -3.138801  0.998
   221   167       -2.850040  0.999
   222   164       -2.986440  1.004
   223   164       -2.995510  1.002
   224   153       -3.377788  1.001
   225   163       -3.013959  1.001
   226   156       -3.290470  0.997
   227   163       -3.027597  1.001
   228   149       -3.523952  1.002
   229   147       -3.584848  1.004
   230   151       -3.453999  1.002
   231   158       -3.226547  1.001
   232   158       -3.223366  1.001
   233   147       -3.573326  0.997
   234   151       -3.454235  1.000
   235   147       -3.554504  1.000
   236   148       -3.534752  0.999
   237   152       -3.421985  1.000
   238   153       -3.402039  0.999
   239   148       -3.484669  0.999
   240   149       -3.464432  1.003
   241   142       -3.742771  0.999
   242   151       -3.400187  0.996
   243   151       -3.391535  0.999
   244   176       -2.124229  1.004
