    1.500000    8.100000    1.100000    0.657468 1053.773545
    1.500000    8.100000    2.088889    0.989605  455.285520
    1.500000    8.100000    3.077778    1.258651  292.593866
    1.500000    8.100000    4.066667    1.485007  220.849440
    1.500000    8.100000    5.055556    1.680135  180.995527
    1.500000    8.100000    6.044444    1.851691  155.618906
    1.500000    8.100000    7.033333    2.005029  137.946515
    1.500000    8.100000    8.022222    2.143992  124.843777
    1.500000    8.100000    9.011111    2.271389  114.673745
    1.500000    8.100000   10.000000    2.389310  106.501734
    4.666667    8.100000    1.100000    1.002872  662.974401
    4.666667    8.100000    2.088889    1.458032  295.043080
    4.666667    8.100000    3.077778    1.831924  187.087431
    4.666667    8.100000    4.066667    2.156467  137.883019
    4.666667    8.100000    5.055556    2.445626  110.222892
    4.666667    8.100000    6.044444    2.707532   92.604361
    4.666667    8.100000    7.033333    2.947618   80.409286
    4.666667    8.100000    8.022222    3.169788   71.454177
    4.666667    8.100000    9.011111    3.376976   64.582529
    4.666667    8.100000   10.000000    3.571449   59.128100
    7.833333    8.100000    1.100000    1.249039  499.130349
    7.833333    8.100000    2.088889    1.794098  225.681888
    7.833333    8.100000    3.077778    2.240135  143.276697
    7.833333    8.100000    4.066667    2.628752  105.177559
    7.833333    8.100000    5.055556    2.977292   83.595622
    7.833333    8.100000    6.044444    3.295333   69.799340
    7.833333    8.100000    7.033333    3.589009   60.240619
    7.833333    8.100000    8.022222    3.862611   53.226446
    7.833333    8.100000    9.011111    4.119323   47.853828
    7.833333    8.100000   10.000000    4.361576   43.599831
   11.000000    8.100000    1.100000    1.450838  406.962379
   11.000000    8.100000    2.088889    2.070328  185.854540
   11.000000    8.100000    3.077778    2.575192  118.219873
   11.000000    8.100000    4.066667    3.015149   86.682430
   11.000000    8.100000    5.055556    3.410584   68.727587
   11.000000    8.100000    6.044444    3.772502   57.217784
   11.000000    8.100000    7.033333    4.107798   49.232791
   11.000000    8.100000    8.022222    4.421207   43.371667
   11.000000    8.100000    9.011111    4.716188   38.884005
   11.000000    8.100000   10.000000    4.995371   35.333767
   14.166667    8.100000    1.100000    1.625963  346.778361
   14.166667    8.100000    2.088889    2.310493  159.493751
   14.166667    8.100000    3.077778    2.866394  101.633973
   14.166667    8.100000    4.066667    3.350492   74.496177
   14.166667    8.100000    5.055556    3.785907   58.990117
   14.166667    8.100000    6.044444    4.184981   49.028430
   14.166667    8.100000    7.033333    4.555343   42.109224
   14.166667    8.100000    8.022222    4.902173   37.027868
   14.166667    8.100000    9.011111    5.229216   33.137194
   14.166667    8.100000   10.000000    5.539302   30.060248
   17.333333    8.100000    1.100000    1.782753  303.917097
   17.333333    8.100000    2.088889    2.525843  140.534716
   17.333333    8.100000    3.077778    3.127503   89.693079
   17.333333    8.100000    4.066667    3.650959   65.742885
   17.333333    8.100000    5.055556    4.121827   52.020119
   17.333333    8.100000    6.044444    4.553689   43.188686
   17.333333    8.100000    7.033333    4.954875   37.048206
   17.333333    8.100000    8.022222    5.331001   32.536372
   17.333333    8.100000    9.011111    5.686088   29.081219
   17.333333    8.100000   10.000000    6.023164   26.348990
   20.500000    8.100000    1.100000    1.925927  271.605455
   20.500000    8.100000    2.088889    2.722757  126.132871
   20.500000    8.100000    3.077778    3.366293   80.611155
   20.500000    8.100000    4.066667    3.925633   59.093696
   20.500000    8.100000    5.055556    4.428699   46.737393
   20.500000    8.100000    6.044444    4.890233   38.773908
   20.500000    8.100000    7.033333    5.319233   33.231970
   20.500000    8.100000    8.022222    5.721721   29.157895
   20.500000    8.100000    9.011111    6.102002   26.037314
   20.500000    8.100000   10.000000    6.463285   23.569647
   23.666667    8.100000    1.100000    2.058465  246.245694
   23.666667    8.100000    2.088889    2.905270  114.759906
   23.666667    8.100000    3.077778    3.587667   73.430233
   23.666667    8.100000    4.066667    4.180217   53.840017
   23.666667    8.100000    5.055556    4.712999   42.569779
   23.666667    8.100000    6.044444    5.201842   35.297430
   23.666667    8.100000    7.033333    5.656378   30.232530
   23.666667    8.100000    8.022222    6.083023   26.507424
   23.666667    8.100000    9.011111    6.486345   23.653485
   23.666667    8.100000   10.000000    6.869748   21.396543
   26.833333    8.100000    1.100000    2.182391  225.734780
   26.833333    8.100000    2.088889    3.076121  105.514342
   26.833333    8.100000    3.077778    3.794953   67.585507
   26.833333    8.100000    4.066667    4.418575   49.565617
   26.833333    8.100000    5.055556    4.979097   39.182723
   26.833333    8.100000    6.044444    5.493379   32.475966
   26.833333    8.100000    7.033333    5.971655   27.801782
   26.833333    8.100000    8.022222    6.420720   24.362584
   26.833333    8.100000    9.011111    6.845403   21.727084
   26.833333    8.100000   10.000000    7.249279   19.642709
   30.000000    8.100000    1.100000    2.299157  208.754289
   30.000000    8.100000    2.088889    3.237278   97.826809
   30.000000    8.100000    3.077778    3.990532   62.720204
   30.000000    8.100000    4.066667    4.643466   46.008235
   30.000000    8.100000    5.055556    5.230108   36.366122
   30.000000    8.100000    6.044444    5.768306   30.132211
   30.000000    8.100000    7.033333    6.268858   25.784932
   30.000000    8.100000    8.022222    6.738938   22.585026
   30.000000    8.100000    9.011111    7.183606   20.132352
   30.000000    8.100000   10.000000    7.606622   18.192378
